# Module inline-string scan: 3025 hits, 1877 unique printable

CALL_ADDR    L   STRING
0x18021ed8a  21  'Form Lift Multiplier'
0x18021ee27   1  ''
0x18021ee8b  23  'Attack Lift Multiplier'
0x18021ef28   1  ''
0x18021ef8c  23  'Attack Dive Multiplier'
0x18021f029   1  ''
0x18021f10e   1  ''
0x18021f17a  26  'Gear Down Lift Multiplier'
0x18021f217   1  ''
0x18021f3e6  21  'Gear Door Front Open'
0x18021f509  40  'How much to open the rear landing gear.'
0x18021f560  20  'Gear Door Rear Open'
0x18021f683  40  'How much to open the rear landing gear.'
0x18021f6e1  22  'Gear Door Rear 2 Open'
0x18021f804  40  'How much to open the rear landing gear.'
0x18021f876  27  'Gear Door Rear Middle Open'
0x18021f913   1  ''
0x18021f97e  25  'Turublence Magnitude Max'
0x18021fa1b   1  ''
0x18021fa8e  28  'Turublence Force Multiplier'
0x18021fb2b   1  ''
0x18021fbb3  34  'Turublence Roll Torque Multiplier'
0x18021fc50   1  ''
0x18021fcde  35  'Turublence Pitch Torque Multiplier'
0x18021fd7b   1  ''
0x18021fe11  38  'Body Damage Control Effect Multiplier'
0x18021feae   1  ''
0x18021ff35  33  'Input Sensitivity For Difficulty'
0x18021ffd2   1  ''
0x1802200ef   1  ''
0x180220169  30  'On Ground Yaw Boost Speed Cap'
0x180220206   1  ''
0x180220279  28  'Engine Off Glide Multiplier'
0x180220316   1  ''
0x180220382  26  'Afterburner Effect Radius'
0x18022041f   1  ''
0x180220492  28  'Afterburner Effect Distance'
0x18022052f   1  ''
0x18022065b   1  ''
0x1802206f7  39  'Submerge Level To Pull Heli Underwater'
0x180220794   1  ''
0x1802207f1  21  'Extra Lift With Roll'
0x180221809  21  'Side Slip Multiplier'
0x1802218aa   1  ''
0x18022190e  23  'Initial Yaw Multiplier'
0x1802219ab   1  ''
0x180221a91   1  ''
0x180221ae7  19  'Roll Stabilisation'
0x180221b84   1  ''
0x180221be9  24  'Initial Roll Multiplier'
0x180221c86   1  ''
0x180221cd5  17  'Pitch Multiplier'
0x180221d72   1  ''
0x180221dc9  20  'Pitch Stabilisation'
0x180221e66   1  ''
0x180221ed1  25  'Initial Pitch Multiplier'
0x180221f6e   1  ''
0x180221fcb  21  'Form Lift Multiplier'
0x180222068   1  ''
0x1802220cc  23  'Attack Lift Multiplier'
0x180222169   1  ''
0x1802221cd  23  'Attack Dive Multiplier'
0x18022226a   1  ''
0x18022234f   1  ''
0x1802223bb  26  'Gear Down Lift Multiplier'
0x180222458   1  ''
0x18022248c   2  <bin> 9020
0x180222612  21  'Gear Door Front Open'
0x180222735  40  'How much to open the rear landing gear.'
0x18022278c  20  'Gear Door Rear Open'
0x1802228af  40  'How much to open the rear landing gear.'
0x18022290d  22  'Gear Door Rear 2 Open'
0x180222a30  40  'How much to open the rear landing gear.'
0x180222aa2  27  'Gear Door Rear Middle Open'
0x180222b3f   1  ''
0x180222baa  25  'Turublence Magnitude Max'
0x180222c47   1  ''
0x180222cba  28  'Turublence Force Multiplier'
0x180222d57   1  ''
0x180222ddf  34  'Turublence Roll Torque Multiplier'
0x180222e7c   1  ''
0x180222f0a  35  'Turublence Pitch Torque Multiplier'
0x180222fa7   1  ''
0x18022303d  38  'Body Damage Control Effect Multiplier'
0x1802230da   1  ''
0x180223161  33  'Input Sensitivity For Difficulty'
0x1802231fe   1  ''
0x18022331b   1  ''
0x180223395  30  'On Ground Yaw Boost Speed Cap'
0x180223432   1  ''
0x1802234a5  28  'Engine Off Glide Multiplier'
0x180223542   1  ''
0x1802235ae  26  'Afterburner Effect Radius'
0x18022364b   1  ''
0x1802236be  28  'Afterburner Effect Distance'
0x18022375b   1  ''
0x180223878   1  ''
0x180223914  39  'Submerge Level To Pull Heli Underwater'
0x1802239b1   1  ''
0x180223a0e  21  'Extra Lift With Roll'
0x1802252de  32  'Aquaplane Push Water Multiplier'
0x180225392   1  ''
0x180225426  25  'Aquaplane Push Water Cap'
0x1802254d3   1  ''
0x180225571  27  'Aquaplane Push Water Apply'
0x18022561e   1  ''
0x180225723   1  ''
0x1802257ad  23  'Rudder Offset Submerge'
0x18022585a   1  ''
0x1802258d1  20  'Rudder Offset Force'
0x18022597e   1  ''
0x180225a4f  38  'Rudder Offset Force Z-Axis Multiplier'
0x180225afc   1  ''
0x180225b7d  22  'Wave Audio Multiplier'
0x180225c2a   1  ''
0x180225cab  22  'Movement Resistance X'
0x180225d58   1  ''
0x180225dd9  22  'Movement Resistance Y'
0x180225e86   1  ''
0x180225f07  22  'Movement Resistance Z'
0x180225fb4   1  ''
0x1802260ce   1  ''
0x1802261e8   1  ''
0x180226302   1  ''
0x1802263a0  27  'Look Left/Right Cam Height'
0x18022644d   1  ''
0x1802264b9  17  'Drag Coefficient'
0x180226566   1  ''
0x1802265d2  17  'Keel Sphere Size'
0x18022667f   1  ''
0x18022677b   1  ''
0x1802267fb  21  'Low Lod Angle Offset'
0x1802268a8   1  ''
0x180226932  23  'Low Lod Draught Offset'
0x1802269df   1  ''
0x180226aef   1  ''
0x180226b84  26  'Impeller Force Multiplier'
0x180226c31   1  ''
0x180226ce4  32  'Dinghy Sphere Buoyancy Constant'
0x180226d91   1  ''
0x180226e12  22  'Prow Raise Multiplier'
0x1802270fd  38  'Deep Water Sample Buoyancy Multiplier'
0x180227384  24  'Transmission Multiplier'
0x180227431   1  ''
0x1802274a8  20  'Traction Multiplier'
0x180228cc6   1  ''
0x180228d15  17  'Keel Sphere Size'
0x18022a4a2   2  <bin> d785
0x18022cf4d   1  ''
0x18022cf9b  17  'Jump Force Scale'
0x18022d03b   1  ''
0x18022d0b4  30  'Increased Ramming Force Scale'
0x180230643   1  ''
0x1802306a8  24  'Maximum Torque Velocity'
0x180230749   1  ''
0x1802307ae  24  'Minimum Torque Velocity'
0x18023084f   1  ''
0x18023089e  17  'Yaw Torque Scale'
0x18023093f   1  ''
0x1802309c6  33  'Self Leveling Pitch Torque Scale'
0x180230a67   1  ''
0x180230ae8  32  'Self Leveling Roll Torque Scale'
0x180230b89   1  ''
0x180230be6  21  'Maximum Pitch Torque'
0x180230c87   1  ''
0x180230d00  29  'Maximum Steering Roll Torque'
0x180230da1   1  ''
0x180230df7  19  'Pitch Torque Scale'
0x180230e98   1  ''
0x180230ef6  22  'Steering Torque Scale'
0x180230f97   1  ''
0x180231080   1  ''
0x1802310d7  20  'Transition Duration'
0x180231178   1  ''
0x1802311d5  21  'Hover Velocity Scale'
0x180231276   1  ''
0x1802312c5  17  'Stability Assist'
0x180231366   1  ''
0x1802313ed  33  'Minimum Speed for Thrust Falloff'
0x18023148e   1  ''
0x1802314eb  21  'Braking Thrust Scale'
0x180244528   5  'ACCD'
0x180244680   4  'SCP'
0x1802447df   4  'GPA'
0x180244934   5  'RETH'
0x180244a89   5  'IBRP'
0x180244b62   7  'D3DSCR'
0x180244bc1   7  'D3DSCP'
0x180244c21   8  'D3DSCRB'
0x180244c7b   5  'CLRB'
0x180244cd5   5  'CLCR'
0x180244dfe   4  'STR'
0x180244e4f   4  'INT'
0x180244ea7   4  'SJH'
0x180244eff   4  'SLH'
0x180244f53   4  'CDE'
0x180244fa8   5  'ANP1'
0x180244ffc   4  'SOB'
0x180245051   5  'NCMS'
0x1802450a5   4  'PCC'
0x1802450f9   4  'PCS'
0x18024514d   4  'RCS'
0x1802451a1   4  'ADN'
0x1802451f5   4  'APA'
0x180245249   4  'STW'
0x18024529d   4  'STU'
0x1802452f1   4  'IOA'
0x180245345   4  'SSC'
0x1802453f9   8  'GWGYMMP'
0x18024549a   4  'BAI'
0x18024553c   5  'BGTP'
0x180245591   5  'ASTH'
0x1802455e3   5  'RSWI'
0x180245637   4  'SNI'
0x18024568b   4  'PDI'
0x1802456df   4  'PDS'
0x180245733   4  'GLT'
0x180245787   4  'RAP'
0x1802457db   4  'DRO'
0x18024582f   4  'DRP'
0x180245883   4  'DRV'
0x1802458d8   5  'DROF'
0x180245936   8  'DROPTFX'
0x18024598b   5  'HRBD'
0x1802459e0   5  'BAIL'
0x180245a88   5  'RPTM'
0x180245add   5  'GAIA'
0x180245b32   5  'PNED'
0x180245b87   5  'HSJR'
0x180245bdb   4  'SJR'
0x180245c86   5  'CNCN'
0x180245cdb   5  'ADVU'
0x180245d30   5  'SDSI'
0x180245d85   5  'GSRU'
0x180245e2f   4  'DLC'
0x180245e83   4  'ROS'
0x180245f36   7  'FPDETH'
0x180245fe1   5  'AVMH'
0x180246036   5  'APMH'
0x18024608b   5  'AWMH'
0x1802460e0   5  'ABMH'
